"Country","Prevalence of smoking Male % of adults 2016","Prevalence of smoking female % of adults 2016","Incidence of tuberculosis  per 100,000 people 2018","Prevalence of diabetes  % of population ages 20 to 79 2019","Incidence of HIV Total per 1,000 uninfected population ages 15-49 2018","Prevalence of HIV Total % of population ages 15-49 2018","Prevalence of HIV Women's share of population ages 15+ living with HIV % 2018","Prevalence of HIV Youth, Male % of population ages 15-24 2018","Prevalence of HIV Youth, Female % of population ages 15-24 2018","Antiretroviral therapy coverage  % of people living with HIV 2018","Cause of death Communicable diseases and maternal, prenatal, and nutrition conditions % of population 2016","Cause of death Non-communicable diseases % of population 2016","Cause of death Injuries % of population 2016"
"Afghanistan",NA,NA,189,9.2,0.04,0.1,29,0.1,0.1,13,36,44,20
"Albania",51,7,18,9,NA,NA,NA,NA,NA,NA,3,93,4
"Algeria",30,1,69,6.7,0.05,0.1,46,0.1,0.1,81,15,76,10
"American Samoa",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",38,29,3,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",NA,NA,355,4.5,1.6,2,69,0.3,1.2,27,63,27,9
"Antigua and Barbuda",NA,NA,6,13.1,NA,NA,NA,NA,NA,NA,12,82,6
"Argentina",28,16,27,5.9,0.3,0.4,32,0.1,0.1,61,16,78,7
"Armenia",52,2,31,6.1,0.1,0.2,34,0.1,0.1,53,3,93,4
"Aruba",NA,NA,5,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",17,13,7,5.6,0.08,0.1,12,0.1,0.1,83,5,90,6
"Austria",31,28,7,6.6,NA,NA,NA,NA,NA,NA,3,92,5
"Azerbaijan",43,0,63,6.1,NA,NA,NA,NA,NA,NA,9,87,5
"Bahamas, The",20,3,14,8.8,0.8,1.8,44,0.6,0.5,52,17,74,9
"Bahrain",38,6,11,15.6,NA,NA,NA,NA,NA,NA,7,83,10
"Bangladesh",45,1,221,9.2,0.02,0.1,36,0.1,0.1,22,26,67,8
"Barbados",15,2,0,13.4,1.1,1.5,34,0.3,0.2,50,13,83,4
"Belarus",46,11,31,5,0.4,0.5,43,0.1,0.1,59,3,91,7
"Belgium",31,25,9,4.6,NA,NA,NA,NA,NA,NA,8,86,6
"Belize",NA,NA,30,17.1,1.3,1.9,47,0.8,1,28,19,67,13
"Benin",12,1,56,1,0.58,1,61,0.2,0.4,61,54,36,10
"Bermuda",NA,NA,4,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",NA,NA,149,10.3,0.2,0.3,30,0.1,0.1,37,21,69,11
"Bolivia",NA,NA,108,6.8,0.2,0.3,32,0.1,0.1,44,22,65,13
"Bosnia and Herzegovina",48,30,25,9,0.01,0.1,15,0.1,0.1,67,2,95,4
"Botswana",34,6,275,5.8,7.4,20.3,57,4.9,8.9,83,46,46,8
"Brazil",18,10,45,10.4,NA,0.5,NA,NA,NA,66,14,74,12
"Brunei Darussalam",31,2,68,13.3,NA,NA,NA,NA,NA,NA,8,85,7
"Bulgaria",44,30,22,6,0.1,0.1,22,0.1,0.1,41,2,95,3
"Burkina Faso",24,2,48,7.3,0.2,0.7,61,0.2,0.4,62,56,33,11
"Burundi",NA,NA,111,5.1,0.2,1,62,0.5,0.6,80,56,32,12
"Cabo Verde",17,2,46,2.4,0.3,0.6,54,0.1,0.2,89,20,70,10
"Cambodia",34,2,302,6.4,0.1,0.5,53,0.1,0.1,81,26,64,10
"Cameroon",NA,NA,186,6,1.6,3.6,66,0.7,1.8,52,54,35,11
"Canada",17,12,6,7.6,NA,NA,NA,NA,NA,69,6,88,6
"Cayman Islands",NA,NA,5,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic",NA,NA,540,6,2,3.6,59,1,1.5,36,64,26,10
"Chad",NA,NA,142,6,0.6,1.3,57,0.5,0.8,51,63,27,9
"Channel Islands",NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",42,34,18,8.6,0.5,0.5,17,0.2,0.1,63,8,85,7
"China",48,2,61,9.2,NA,NA,NA,NA,NA,NA,4,89,7
"Hong Kong SAR, China",NA,NA,67,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Macao SAR, China",NA,NA,60,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",14,5,33,7.4,0.2,0.4,20,0.1,0.1,73,10,75,15
"Comoros",24,4,35,12.3,0.01,0.1,44,0.1,0.1,79,47,42,11
"Congo, Dem. Rep.",NA,NA,321,6,0.3,0.8,72,0.2,0.5,57,62,28,10
"Congo, Rep.",52,2,375,6,1.6,2.6,67,0.5,1.6,35,56,35,10
"Costa Rica",17,6,10,9.1,0.4,0.4,20,0.1,0.1,49,6,83,10
"Cote d'Ivoire",NA,NA,142,2.4,1.08,2.6,61,0.6,1.2,55,52,37,10
"Croatia",40,34,8,5.4,0.04,0.1,11,0.1,0.1,75,2,92,5
"Cuba",53,17,7,9.6,0.3,0.4,18,0.1,0.1,72,8,84,8
"Curacao",NA,NA,6,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",53,20,5,9,NA,NA,NA,NA,NA,NA,4,91,5
"Czech Republic",38,31,5,7,0.09,0.1,11,0.1,0.1,60,5,90,5
"Denmark",19,19,5,8.3,0.05,0.1,26,0.1,0.1,89,7,90,4
"Djibouti",25,2,260,5.1,0.8,1.2,58,0.4,0.6,30,45,44,10
"Dominica",NA,NA,6,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic",19,9,45,8.6,0.4,0.9,49,0.3,0.3,56,16,72,12
"Ecuador",12,2,44,5.5,0.2,0.4,30,0.1,0.1,57,15,72,13
