"Country","Agricultural land  % of land area 2000-02","Agricultural land  % of land area 2014-16","Agricultural land  % irrigated 2014-16","Average annual precipitation  millimeters 2014","Land under cereal production  hectares thousands 2000-02","Land under cereal production  hectares thousands 2014-16","Fertilizer consumption  % of fertilizer production 2014-16","Fertilizer consumption  kilograms per hectare of arable land 2014-16","Agricultural employment  % of total employment 2000-02","Agricultural employment  % of total employment 2014-16","Agricultural machinery tractors per 100 sq. km of arable land 2000","Agricultural machinery tractors per 100 sq. km of arable land 2009"
"Afghanistan",58,58,6.5,327,NA,NA,590.1,12.2,63.5,38.8,0.1,0.1
"Albania",42,43,19.6,NA,157.6,148.1,NA,126.1,45.9,39.8,139.9,121.9
"Algeria",17,17,2.8,89,NA,NA,8.2,22.3,21.7,8.3,124.9,139.6
"American Samoa",23,25,NA,NA,NA,NA,NA,NA,NA,NA,68,107.8
"Andorra",49,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola",46,47,NA,NA,NA,NA,NA,8,37,49.4,NA,NA
"Antigua and Barbuda",20,20,NA,NA,0,0,NA,13.9,NA,NA,NA,NA
"Argentina",47,54,NA,591,NA,NA,256.6,50.3,1,0.1,89.6,87.7
"Armenia",49,59,9.2,562,184.9,194.7,NA,110.5,38.8,33.6,291.6,291.6
"Aruba",11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",58,48,0.6,534,NA,NA,222.1,68.1,4.4,2.6,NA,NA
"Austria",35,32,1.4,NA,816.8,787,NA,141.8,5.8,4.3,NA,NA
"Azerbaijan",57,58,29.8,447,813.2,986.9,NA,14.1,40.2,36.3,148.2,148.2
"Bahamas, The",1,1,NA,NA,0.1,0.1,NA,144,3.7,2.7,163.3,NA
"Bahrain",13,11,NA,83,NA,NA,0.7,NA,1.5,1.1,75,75
"Bangladesh",72,71,59.7,NA,NA,NA,392.4,289.4,59.8,42.7,1.2,1.2
"Barbados",40,23,NA,NA,0.1,0,NA,113.8,3.5,2.9,NA,NA
"Belarus",44,42,0.4,618,NA,NA,11.6,146.6,11.1,9.7,118.9,86.8
"Belgium",46,45,NA,847,310.5,327.5,NA,318.5,1.8,1.3,NA,NA
"Belize",7,7,NA,NA,23,28.9,NA,466.2,23.4,15.1,NA,NA
"Benin",30,33,NA,NA,960.1,NA,NA,14.7,44.4,42.1,0.8,NA
"Bermuda",7,6,NA,NA,NA,NA,NA,177.1,NA,NA,NA,NA
"Bhutan",13,14,NA,NA,59,52.1,NA,13.3,64.3,57.6,11,11
"Bolivia",34,35,0.7,NA,768.3,NA,NA,7.6,42.4,29.2,19.1,19.1
"Bosnia and Herzegovina",41,43,NA,NA,341.6,319.3,193.7,131.8,18.8,16.8,322.2,NA
"Botswana",46,46,0,416,96.5,100.3,NA,89.6,20.8,23.4,76.8,120.8
"Brazil",32,34,NA,NA,NA,NA,535,186.1,20,10.2,138,113.3
"Brunei Darussalam",2,3,NA,NA,0.5,1,NA,141.8,1.1,1,NA,NA
"Bulgaria",49,46,NA,608,NA,NA,141.4,125.5,10.7,6.8,98.4,172
"Burkina Faso",39,44,NA,748,NA,NA,NA,21.8,75.9,29.7,5.7,NA
"Burundi",71,79,NA,NA,223.4,289.2,NA,5.4,92.2,91.8,1.8,NA
"Cabo Verde",18,20,NA,228,34.1,31.7,NA,NA,16.9,13.8,10.9,11.7
"Cambodia",28,31,NA,NA,NA,NA,NA,17.4,67.5,31.1,5.9,5.9
"Cameroon",19,21,NA,NA,890.8,NA,NA,9.7,64.9,46.8,0.9,NA
"Canada",7,7,1.4,537,NA,NA,25.4,87.6,2.1,1.9,159.1,162.5
"Cayman Islands",11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Central African Republic",8,8,NA,NA,184.4,162.8,NA,0.3,70.5,73.3,NA,NA
"Chad",39,40,NA,322,NA,NA,NA,NA,83.3,81.3,NA,NA
"Channel Islands",37,46,3.7,NA,NA,NA,NA,NA,5,4.4,NA,NA
"Chile",21,21,NA,NA,652.1,564.6,28.5,293.8,13.5,9.5,307.3,427.2
"China",55,56,NA,645,NA,NA,98.6,503.3,50,27.7,83.7,83.7
"Hong Kong SAR, China",7,5,NA,NA,0,0,NA,NA,0.3,0.2,NA,NA
"Macao SAR, China",NA,NA,NA,NA,NA,NA,0,NA,2.5,2.1,NA,NA
"Colombia",38,40,NA,NA,NA,NA,525.5,659.5,20.5,16,82.7,NA
"Comoros",73,71,NA,900,16.1,28.7,NA,NA,55.6,57.1,NA,NA
"Congo, Dem. Rep.",11,12,NA,NA,NA,NA,NA,2.5,73.3,68.9,NA,NA
"Congo, Rep.",31,31,NA,NA,24.9,36.3,NA,1.8,40.1,35.9,NA,NA
"Costa Rica",36,34,NA,NA,54.7,53.1,NA,604.9,15.9,12.2,NA,NA
"Cote d'Ivoire",62,65,NA,NA,759.7,NA,NA,51.7,47.9,48.9,30,32.1
"Croatia",21,28,1,NA,578.9,532.8,30.1,119.3,15.6,7.6,27.3,49.4
"Cuba",63,60,NA,NA,320.6,316.7,475.5,49.4,24.6,18.6,216.6,203.2
"Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
