"Country","Net energy imports  % of energy use 1990","Net energy imports  % of energy use 2015","GDP per unit of energy use  2011 PPP $ per kilogram of oil equivalent 1990","GDP per unit of energy use  2011 PPP $ per kilogram of oil equivalent 2015","Carbon dioxide emissions Total thousand metric tons 1990","Carbon dioxide emissions Total thousand metric tons 2014","Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 1990","Carbon dioxide emissions Carbon intensity kilograms per kilograms of oil equivalent energy use 2014","Carbon dioxide emissions per capita metric tons 1990","Carbon dioxide emissions per capita metric tons 2014","Carbon dioxide emissions  kilograms per 2011 PPP $ of GDP 1990","Carbon dioxide emissions  kilograms per 2011 PPP $ of GDP 2014"
"Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.3,NA,0.2
"Albania",8,14,5.5,13.2,NA,NA,2.1,2.4,1.7,2,0.4,0.2
"Algeria",-351,-177,12,10.2,NA,NA,3.5,2.8,3,3.7,0.3,0.3
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",NA,NA,NA,NA,407,462,NA,NA,7.5,5.8,NA,NA
"Angola",-387,-541,9.6,12.5,NA,NA,0.9,2.4,0.4,1.3,0.1,0.2
"Antigua and Barbuda",NA,NA,11,NA,282,532,2.9,NA,4.5,5.7,0.3,0.3
"Argentina",-5,13,8.1,9.3,NA,NA,2.4,2.4,3.4,4.8,0.3,0.3
"Armenia",98,71,1.7,7.8,NA,NA,1.4,1.9,1.7,1.9,0.9,0.2
"Aruba",NA,NA,NA,NA,NA,873,NA,NA,26.4,8.4,0.7,0.2
"Australia",-82,-190,5.7,8,NA,NA,3.1,2.9,15.5,15.4,0.5,0.4
"Austria",67,64,9.7,11.6,NA,NA,2.3,1.8,7.5,6.9,0.2,0.2
"Azerbaijan",8,-310,2.8,11.2,NA,NA,3.1,2.6,7.6,3.9,1.2,0.2
"Bahamas, The",NA,NA,12.3,NA,NA,NA,3,NA,7.6,6.5,0.2,0.2
"Bahrain",-173,-62,3.3,4.1,NA,NA,2.4,2.2,25.1,23.5,0.7,0.5
"Bangladesh",16,17,10.7,13.4,NA,NA,1.2,2.1,0.2,0.5,0.1,0.2
"Barbados",NA,NA,12,NA,NA,NA,3.3,NA,4.1,4.5,0.3,0.3
"Belarus",93,87,1.9,6.1,NA,NA,2.4,2.3,8.6,6.7,1.1,0.4
"Belgium",73,80,6.3,9,NA,NA,2.2,1.8,10.6,8.3,0.4,0.2
"Belize",NA,NA,8.9,NA,312,495,2.9,NA,1.7,1.4,0.3,0.2
"Benin",-7,47,4.4,4.8,708,NA,0.4,1.5,0.1,0.6,0.1,0.3
"Bermuda",NA,NA,NA,NA,502,576,NA,NA,8.5,8.8,0.2,0.1
"Bhutan",NA,NA,21.4,NA,128,NA,2.3,NA,0.2,1.4,0.1,0.2
"Bolivia",-89,-178,9.7,8,NA,NA,2.2,2.4,0.8,1.9,0.2,0.3
"Bosnia and Herzegovina",34,23,NA,4.8,NA,NA,3.4,2.8,3.6,6.4,NA,0.6
"Botswana",29,44,9,12.4,NA,NA,2.2,2.6,2.1,3.4,0.2,0.2
"Brazil",26,12,11,10.4,NA,NA,1.5,1.7,1.4,2.6,0.1,0.2
"Brunei Darussalam",-806,-357,12.7,8.8,NA,NA,3.6,2.6,23.9,22.2,0.3,0.3
"Bulgaria",66,37,2.9,6.6,NA,NA,2.6,2.4,8.5,5.9,0.9,0.4
"Burkina Faso",NA,NA,NA,NA,583,NA,NA,NA,0.1,0.2,0.1,0.1
"Burundi",NA,NA,NA,NA,209,440,NA,NA,0,0,0,0.1
"Cabo Verde",NA,NA,19.5,NA,95,491,3.3,NA,0.3,0.9,0.2,0.2
"Cambodia",NA,33,NA,7.5,NA,NA,NA,1,0.1,0.4,NA,0.1
"Cameroon",-120,-28,7.1,9.3,NA,NA,0.3,0.9,0.1,0.3,0,0.1
"Canada",-31,-73,3.8,5.7,NA,NA,2.1,1.9,15.7,15.2,0.5,0.4
"Cayman Islands",NA,NA,NA,NA,249,543,NA,NA,9.9,8.9,NA,0.1
"Central African Republic",NA,NA,NA,NA,198,301,NA,NA,0.1,0.1,0.1,0.1
"Chad",NA,NA,NA,NA,143,730,NA,NA,0,0.1,0,0
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",43,65,8.5,11.1,NA,NA,2.4,2.3,2.5,4.6,0.3,0.2
"China",-1,15,2,5.7,NA,NA,2.8,3.4,2.2,7.5,1.4,0.6
"Hong Kong SAR, China",99,99,17.9,26.8,NA,NA,3.2,3.2,4.8,6.4,0.2,0.1
"Macao SAR, China",NA,NA,NA,NA,NA,NA,NA,NA,3,2.2,0.1,0
"Colombia",-99,-274,10.6,17.8,NA,NA,2.4,2.5,1.7,1.8,0.2,0.1
"Comoros",NA,NA,59.5,NA,62,154,3.5,NA,0.2,0.2,0.1,0.1
"Congo, Dem. Rep.",-2,2,4.1,2,NA,NA,0.3,0.2,0.1,0.1,0.1,0.1
"Congo, Rep.",NA,-497,15.9,10.3,NA,NA,1.5,1.2,0.5,0.7,0.1,0.1
"Costa Rica",59,50,14.4,13.9,NA,NA,1.8,1.6,0.9,1.6,0.1,0.1
"Cote d'Ivoire",22,7,9,5,NA,NA,1.2,0.8,0.4,0.5,0.1,0.2
"Croatia",40,46,NA,10.7,NA,NA,2.2,2.1,3.6,4,NA,0.2
"Cuba",57,50,NA,NA,NA,NA,1.9,3,3.1,3.1,NA,NA
"Curacao",100,100,NA,2.1,NA,NA,NA,3,NA,37.7,NA,1.4
"Cyprus",100,94,9.5,12.7,NA,NA,3.2,3.1,5.7,5.3,0.3,0.2
"Czech Republic",17,32,4.2,7.9,NA,NA,3.2,2.3,13.4,9.2,0.8,0.3
"Denmark",42,2,10,16.3,NA,NA,2.9,2.1,9.8,5.9,0.3,0.1
"Djibouti",NA,NA,NA,NA,323,722,2.5,NA,0.5,0.8,NA,NA
"Dominica",NA,NA,22.1,NA,59,136,2.8,NA,0.8,1.9,0.1,0.2
"Dominican Republic",76,87,9.8,17.1,NA,NA,2.3,2.8,1.3,2.1,0.2,0.2
"Ecuador",-159,-115,12.1,12.2,NA,NA,2.7,3.1,1.6,2.8,0.2,0.3
"Egypt, Arab Rep.",-70,-7,10.3,12.1,NA,NA,2.4,2.7,1.4,2.2,0.2,0.2
"El Salvador",31,49,9.6,10.6,NA,NA,1,1.5,0.5,1,0.1,0.1
"Equatorial Guinea",NA,NA,NA,NA,66,NA,NA,NA,0.2,4.8,0.2,0.2
"Eritrea",19,22,3.9,NA,NA,697,NA,0.9,NA,NA,NA,NA
"Estonia",45,-3,NA,6.6,NA,NA,3.6,3.2,15.6,14.8,NA,0.6
"Eswatini",NA,NA,15,NA,425,NA,1.4,NA,0.5,1.1,0.1,0.1
"Ethiopia",4,6,1.4,2.9,NA,NA,0.1,0.2,0.1,0.1,0.1,0.1
"Faroe Islands",NA,NA,NA,NA,711,598,NA,NA,15,12.5,NA,NA
"Fiji",NA,NA,15,NA,814,NA,2.8,NA,1.1,1.4,0.2,0.2
"Finland",57,45,5.1,6.6,NA,NA,1.8,1.4,10.4,8.7,0.4,0.2
"France",50,44,7.7,10.3,NA,NA,1.7,1.2,6.5,4.6,0.2,0.1
"French Polynesia",NA,NA,NA,NA,436,803,NA,NA,2.2,3,NA,NA
"Gabon",NA,-213,15.7,6.2,NA,NA,3.8,1,4.7,2.8,0.2,0.2
"Gambia, The",NA,NA,37.9,NA,176,513,2.8,NA,0.2,0.3,0.1,0.1
"Georgia",84,69,3.2,7.8,NA,NA,1.8,2,3.1,2.4,0.9,0.3
"Germany",47,61,7.1,11.5,NA,NA,2.7,2.4,11.6,8.9,0.4,0.2
"Ghana",17,-8,5.3,11.4,NA,NA,0.7,1.6,0.3,0.5,0.1,0.1
"Greece",57,64,9.8,11.1,NA,NA,3.5,2.9,7.3,6.2,0.4,0.3
"Greenland",NA,NA,NA,NA,554,506,NA,NA,10,9,NA,NA
"Grenada",NA,NA,16.4,NA,106,242,2.5,NA,1.1,2.2,0.2,0.2
"Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guatemala",23,33,10.7,8.6,NA,NA,1.2,1.4,0.5,1.2,0.1,0.2
