"Country","Access to electricity  % of population 2000","Access to electricity  % of population 2016","Access to electricity  % of urban population 2016","Access to electricity  % of rural population 2016","Access to clean fuels and technologies for cooking  % of population 2000","Access to clean fuels and technologies for cooking  % of population 2016","Renewable energy consumption  % of total final energy consumption 2000","Renewable energy consumption  % of total final energy consumption 2015","Renewable electricity output  % of total electricity output 2000","Renewable electricity output  % of total electricity output 2015"
"Afghanistan",NA,97.7,99.5,97.1,8.8,32.4,54.2,18.4,75,86.1
"Albania",100,100,100,100,39.8,77.4,41.4,38.6,96.1,100
"Algeria",NA,100,100,100,86.5,92.6,0.4,0.1,0.2,0.3
"American Samoa",NA,NA,NA,NA,NA,NA,0,0.9,0,0.9
"Andorra",100,100,100,100,100,100,14.9,19.7,100,86.1
"Angola",20,40.6,70.8,0,37.3,48.1,74.6,49.6,63.1,53.2
"Antigua and Barbuda",100,100,100,100,96.7,98.8,0,0,0,0
"Argentina",95.5,100,100,99.7,94.8,98.4,11.1,10,33.2,28.1
"Armenia",98.9,100,100,100,82,96.9,7.2,15.8,21.2,28.3
"Aruba",91.7,100,100,100,NA,NA,0.2,6.7,0,14.9
"Australia",100,100,100,100,100,100,8.4,9.2,8.4,13.6
"Austria",100,100,100,100,100,100,26.4,34.4,72.5,76.5
"Azerbaijan",98.9,100,100,100,73.2,95.5,2.1,2.3,8.2,7
"Bahamas, The",100,100,100,100,100,100,0,1.2,0,0
"Bahrain",100,100,100,100,100,100,0,0,0,0
"Bangladesh",32,75.9,94,66,7.2,17.7,59,34.7,4.7,1.2
"Barbados",100,100,100,100,97.4,99.4,13.6,2.8,0,0
"Belarus",100,100,100,100,93.7,98.2,5,6.8,0.1,0.8
"Belgium",100,100,100,100,100,100,1.4,9.2,1.3,20.8
"Belize",79,97,98,96.2,78.2,85.4,34.6,35,70.1,45.2
"Benin",20.7,41.6,70.9,16.4,1.8,6.4,70.3,50.9,2.4,5.6
"Bermuda",100,100,100,100,NA,NA,0,2.4,0,0
"Bhutan",31.2,99.8,99.9,99.7,31.7,52.5,91.4,86.9,100,100
"Bolivia",70,91.8,99.5,74.9,65.3,64,27.4,17.5,51.5,31.4
"Bosnia and Herzegovina",100,100,100,100,38.1,63.4,19.4,40.8,48.8,35.5
"Botswana",27.2,60.6,77.9,24,45.1,64.1,36.6,28.9,0,0
"Brazil",94.4,99.7,99.9,98.5,86.9,95.6,42.8,43.8,89.5,74
"Brunei Darussalam",100,100,100,100,100,100,0,0,0,0
"Bulgaria",100,100,100,100,65,88.7,8,17.7,6.6,18
"Burkina Faso",9.2,23.7,62.6,8.4,2.8,8.9,85.4,74.2,25.2,9.4
"Burundi",3.1,9.3,59.4,2.2,0.6,0.8,93.2,95.7,98,82.7
"Cabo Verde",58.6,90.6,93.6,85.1,56.8,71.1,29,26.6,5.4,20.2
"Cambodia",16.6,76.8,99.3,70.3,4.7,17.7,81.1,64.9,0.2,46.4
"Cameroon",41,60.1,92.2,20.6,9.9,23,84.5,76.5,98.9,76.1
"Canada",100,100,100,100,100,100,21.5,22,60.6,63
"Cayman Islands",100,100,100,100,NA,NA,0,0,0,0
"Central African Republic",6,27.1,48.3,12.6,0.6,1,85.1,76.6,78.5,99.4
"Chad",2.8,10.1,36.2,2.5,3.3,3.1,97.2,89.4,0,0
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,0,0
"Chile",97.9,100,100,100,86.1,92.3,31.4,24.9,48.5,43.6
"China",96.6,100,100,100,46.8,59.3,29.7,12.4,16.6,23.9
"Hong Kong SAR, China",100,100,100,100,NA,NA,0.6,0.9,0,0.3
"Macao SAR, China",100,100,100,100,NA,NA,0.2,7.1,0,0
"Colombia",95.2,98.4,99.8,92.8,79.6,91.8,28,23.6,75.5,68.2
"Comoros",39.7,77.4,93.2,71.1,0.6,9.3,48.3,45.3,0,0
"Congo, Dem. Rep.",6.7,18,47.5,0,3.6,4,97.9,95.8,99.9,99.8
"Congo, Rep.",NA,61.7,82.1,22.2,10,24.1,64.9,62.4,99.7,53.3
"Costa Rica",98.2,99.5,99.8,98.5,87.8,93.5,32.9,38.7,99.1,99
"Cote d'Ivoire",47.6,64.3,92,36.7,18.4,18.2,63.7,64.5,36.8,16.7
"Croatia",100,100,100,100,80.4,92.7,26.8,33.1,57.3,66.8
"Cuba",97,99.6,100,98.5,68.3,79.4,34.4,19.3,6.9,3.9
"Curacao",100,100,100,100,NA,NA,0.1,0.3,0.7,3.7
"Cyprus",100,100,100,100,100,100,3.1,9.9,0,8.8
"Czech Republic",100,100,100,100,93.2,97.1,5.9,14.8,3.1,11.4
"Denmark",100,100,100,100,100,100,10.7,33.2,15.5,65.5
"Djibouti",56.4,58.7,68.7,23.9,5.3,11.5,31.4,15.4,0,0
"Dominica",80.9,100,99.9,100,78.4,90.6,11,7.8,41.6,16.2
"Dominican Republic",88.8,98.9,99.9,95,80.2,90.4,18.4,16.5,9.1,11.6
"Ecuador",93.5,98.7,99.8,96.8,87.2,95.6,20,13.8,71.7,52.8
"Egypt, Arab Rep.",97.7,100,100,100,83.3,97.6,8.1,5.7,17.7,8.3
"El Salvador",84.5,96,98.4,90.3,56.5,86,50.9,24.4,58.1,57.8
"Equatorial Guinea",NA,66.9,91.6,6,23,34.4,52.6,7.8,13.9,57.8
"Eritrea",29.2,47.2,76.6,28.5,6.1,16.3,76.8,79.8,0.5,0.5
"Estonia",100,100,100,100,79.4,92.9,19.8,27.5,0.2,14.4
"Eswatini",26.9,69.8,89.6,63.7,27.2,49.7,48.2,66.1,40.9,46.6
"Ethiopia",12.7,42.9,85.4,32.4,1.1,3.5,96,92.2,98.6,100
"Faroe Islands",100,100,100,100,NA,NA,2.8,7.5,36.2,60.1
"Fiji",75.8,96.7,99.4,93.4,31.1,39.6,52.9,31.3,60.2,45
"Finland",100,100,100,100,100,100,31.7,43.2,33.4,44.5
"France",100,100,100,100,100,100,9.3,13.5,13,15.9
"French Polynesia",100,100,100,100,NA,NA,9.9,9.8,33.3,32
"Gabon",73.6,91.1,97.1,44.4,58.7,79.1,72.8,82,61.6,43.7
"Gambia, The",34.3,54.7,75.8,23.3,3.2,3.3,63.1,51.5,0,0
"Georgia",99.9,100,100,100,41.2,77.8,47.3,28.7,78.9,78
"Germany",100,100,100,100,100,100,3.7,14.2,6.2,29.2
"Ghana",43.7,79.3,89.8,66.6,5.9,21.7,71.6,41.4,91.5,50.9
"Greece",100,100,100,100,88.2,94.3,7.5,17.2,7.8,28.7
"Greenland",100,100,100,100,NA,NA,12.2,15.5,57.4,81.3
"Grenada",86,93.7,92.2,94.5,92.9,96.6,10.5,10.9,0,0
"Guam",100,100,100,100,NA,NA,0,0,0,0
"Guatemala",73.3,91.9,96.8,86.9,39.3,45.2,62.7,63.7,51.7,60.4
"Guinea",16.5,33.5,82.2,6.7,1.2,1.2,85.6,76.3,56,78.8
"Guinea-Bissau",NA,23.2,43.2,8.4,1.4,1.5,91.2,86.9,0,0
"Guyana",74.5,89.6,96,87.3,36.3,74.5,39.5,25.3,0,0
"Haiti",33.7,40.4,76.4,0,3.2,4.3,76,76.1,51.7,8
"Honduras",67.4,91.6,99.1,82.1,29.9,53.1,55.1,51.5,61.9,42.3
"Hungary",100,100,100,100,100,100,5.2,15.6,0.7,10.6
"Iceland",100,100,100,100,100,100,60.7,77,99.9,100
"India",59.4,89.6,98.5,85.2,22.2,41,51.6,36,13.6,15.3
"Indonesia",86.3,97.6,100,94.9,5.4,58.4,45.6,36.9,16,10.7
"Iran, Islamic Rep.",97.9,100,100,100,85.7,98.5,0.4,0.9,3,5.1
"Iraq",NA,100,100,100,75,97.6,0.4,0.8,1.9,3.7
"Ireland",100,100,100,100,100,100,2,9.1,5,28
"Isle of Man",100,100,100,100,NA,NA,1.5,4.2,0,0.8
"Israel",100,100,100,100,100,100,6,3.7,0.1,1.9
"Italy",100,100,100,100,100,100,5.1,16.5,18.8,38.7
"Jamaica",84.5,98.5,100,96.6,73.2,90.5,11.9,16.8,4.8,10.3
"Japan",100,100,100,100,100,100,3.9,6.3,9.1,16
"Jordan",98.7,100,100,100,97.3,99.1,2.1,3.2,0.6,1
"Kazakhstan",99.1,100,100,100,82.9,95.3,2.5,1.6,14.7,8.9
"Kenya",15.3,65.4,77.6,61.1,2,13.4,79,72.7,47,87.5
"Kiribati",NA,93.7,88.7,99.2,2.3,5.5,4.8,4.3,0,7.3
"Korea, Dem. People’s Rep.",NA,41.7,37,49.3,3.1,10.8,8.7,23.1,52.6,72.8
"Korea, Rep.",100,100,100,100,96.2,96.7,0.7,2.7,1.4,1.9
"Kosovo",100,100,100,100,NA,NA,28.3,20.5,1.8,2.3
"Kuwait",100,100,100,100,100,100,0,0,0,0
"Kyrgyz Republic",99.7,100,100,100,51.7,81.3,35.2,23.3,85.9,85.2
"Lao PDR",43.1,90.8,98.8,86.8,4,5.6,85.5,59.3,90.9,86.4
"Latvia",100,100,100,100,85.9,95.3,35.8,38.1,68.3,50.2
"Lebanon",NA,100,100,100,NA,NA,4.9,3.6,4.6,2.6
"Lesotho",4.3,31.9,66.3,18.9,18.1,35.6,56.7,52.1,100,100
"Liberia",NA,19.8,34,5.5,0.6,0.7,90.8,83.8,0,0
"Libya",99.8,71.7,71.7,71.7,NA,NA,2,2,0,0
"Liechtenstein",100,100,100,100,NA,NA,NA,63.1,0,96.9
"Lithuania",100,100,100,100,100,100,17.2,29,3.1,39.4
