"Country","Annual freshwater withdrawals Flows billion cu. m 2014","Annual freshwater withdrawals  billion cu. m 2014","Annual freshwater withdrawals  % of internal resources 2014","Annual freshwater withdrawals  % for agriculture 2015","Annual freshwater withdrawals  % for industry 2014","Water productivity  % of domestic 2015","People using at least basic drinking water services GDP/water use 2010 $ per cu. m 2015","People using at least basic drinking water services Urban % of urban population 2018","People using at least basic drinking water services Rural % of Rural population 2018"
"Afghanistan",47.2,NA,NA,NA,NA,NA,NA,95.9,57.3
"Albania",26.9,1.3,4.9,39,18,43,7,91.8,89.9
"Algeria",11.3,7.8,69.4,59,5,36,22,95.4,88.7
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",0.3,NA,NA,NA,NA,NA,NA,100,100
"Angola",148,0.7,0.5,NA,34,NA,NA,71.2,27.4
"Antigua and Barbuda",0.1,0,8.5,16,22,63,265,NA,NA
"Argentina",292,37.7,12.9,74,11,15,12,99.6,93
"Armenia",6.9,3.3,42.9,90,4,6,4,99.9,100
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",492,16.8,3.1,61,16,23,78,100,100
"Austria",55,3.5,6.3,2,77,21,112,100,100
"Azerbaijan",8.1,12,147.5,84,19,NA,4,99.3,81.6
"Bahamas, The",0.7,NA,NA,NA,NA,NA,NA,NA,NA
"Bahrain",0,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh",105,35.9,34.2,88,2,10,3,97.5,96.8
"Barbados",0.1,0.1,87.5,NA,8,NA,NA,NA,NA
"Belarus",34,1.5,4.5,32,32,36,42,96,98.3
"Belgium",12,6,50,1,88,12,78,100,100
"Belize",15.3,NA,NA,NA,NA,NA,NA,98.9,97.2
"Benin",10.3,NA,NA,NA,NA,NA,NA,75.7,58.2
"Bermuda",NA,NA,NA,NA,NA,NA,NA,99.9,NA
"Bhutan",78,0.3,0.4,94,1,5,4,98,96.7
"Bolivia",303.5,2.1,0.7,92,2,7,9,99.4,78.1
"Bosnia and Herzegovina",35.5,0.3,0.9,NA,15,NA,54,94.8,97.3
"Botswana",2.4,NA,NA,NA,NA,NA,NA,97.1,75.5
"Brazil",NA,74.8,1.3,60,17,23,30,99.5,89.7
"Brunei Darussalam",8.5,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",21,5.6,27.2,15,69,16,10,99.5,98
"Burkina Faso",12.5,0.8,6.5,NA,3,NA,NA,79.9,35
"Burundi",10.1,NA,NA,NA,NA,NA,NA,89.8,56.6
"Cabo Verde",0.3,NA,NA,NA,NA,NA,NA,93.1,75.8
"Cambodia",120.6,2.2,1.8,94,2,4,4,97.3,72.9
"Cameroon",273,NA,NA,NA,NA,NA,NA,77.3,39
"Canada",NA,38.8,1.4,12,80,14,40,99.6,98.9
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,96.1,NA
"Central African Republic",141,0.1,0.1,NA,17,NA,NA,64.7,33.7
"Chad",15,0.9,5.9,NA,12,NA,NA,69.8,29.5
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chile",885,35.4,4,83,13,4,5,99.8,100
"China",NA,594.2,21.3,64,22,13,15,97.7,86.2
