"Country","Total greenhouse gas emissions  thousand metric tons of carbon dioxide equivalent 2012","Total greenhouse gas emissions  % change 1990-2012","Methane emissions  thousand metric tons of carbon dioxide equivalent 2012","Methane emissions  % change 1990-2012","Methane emissions From energy processes % of total 2008","Methane emissions Agricultural % of total 2008","Nitrous oxide emissions  thousand metric tons of carbon dioxide equivalent 2012","Nitrous oxide emissions  % change 1990-2012","Nitrous oxide emissions From energy processes % of total 2008","Nitrous oxide emissions Agricultural % of total 2008","Other greenhouse gas emissions  thousand metric tons of carbon dioxide equivalent 2012","Other greenhouse gas emissions  % change 1990-2012"
"Afghanistan",NA,43.5,NA,80.4,8.2,62.7,NA,24.6,6,71.3,NA,118.1
"Albania",NA,-19.9,NA,3.8,25.8,65,NA,-26.5,6.2,80.6,900,-75
"Algeria",NA,65.8,NA,50.2,79.4,10,NA,49.9,7.2,53.9,NA,202.7
"American Samoa",58.8,188.3,13,48.3,0,24.8,24,NA,0,99.2,0,433.3
"Andorra",NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
"Angola",NA,-18,NA,-14,63.8,23,NA,-79.5,6,81.3,NA,NA
"Antigua and Barbuda",552.7,48.5,43,21.9,2.8,61.4,26,54.5,12.6,51.3,111,NA
"Argentina",NA,42.7,NA,-13.3,17.7,73.5,NA,37.9,3.1,90.6,NA,100.5
"Armenia",NA,-50.2,NA,18.5,55.4,35.9,NA,27,3.2,81.1,NA,511.5
"Aruba",NA,NA,23,52.8,6.4,3.7,6,-45.1,36.5,13,NA,-33.3
"Australia",NA,57.9,NA,9.1,32,56.8,NA,-13.7,6.6,81,NA,483.5
"Austria",NA,13.3,NA,-20.2,24.5,48,NA,-28.7,17.6,56,NA,88.2
"Azerbaijan",NA,-27.6,NA,74.2,58,32.1,NA,0.3,5.4,80,NA,354.9
"Bahamas, The",NA,35.4,227,60.2,4.8,2,131,119.4,19.6,16.1,772,-89.3
"Bahrain",NA,92.7,NA,87.7,92.1,0.5,131,80.8,23.7,11.3,NA,-87.4
"Bangladesh",NA,44.7,NA,20.7,11.5,68.9,NA,64.7,7.6,82.9,NA,-87
"Barbados",NA,28.4,109,-15,8.4,18.5,59,-16.1,13,43.4,47,-128.6
"Belarus",NA,-40.9,NA,-10.9,7,53.8,NA,-31,5.4,71.2,NA,-98.7
"Belgium",NA,-3.3,NA,-25.7,14.7,57.9,NA,-13.5,8,31.3,NA,472.5
"Belize",NA,148.1,228,34.5,13.4,56.4,200,54.3,9.5,72.4,195,310
"Benin",NA,-28.9,NA,36.4,13.4,45.8,NA,30.4,2.5,62.6,NA,-54
"Bermuda",632.9,-3.1,31,28.6,3.8,4.7,21,46.9,16.6,13.5,39,-100
"Bhutan",NA,157.5,NA,92.6,36.4,42.8,555,210.4,34.4,42.1,-393,NA
"Bolivia",NA,222.7,NA,3.5,44.6,48.3,NA,-33.4,1.6,53.7,NA,285.4
"Bosnia and Herzegovina",NA,-13.4,NA,-31.6,47.8,42.1,NA,-10.8,10.2,70.7,NA,-7.3
"Botswana",NA,514,NA,-26.8,11.8,79.9,NA,-58.7,2.9,93.9,NA,NA
"Brazil",NA,86.1,NA,49.2,9.8,75,NA,36.8,3.7,81.5,NA,99.3
"Brunei Darussalam",NA,-19.3,NA,25.7,97.6,0.3,342,-40.1,4.9,27.9,NA,-96
"Bulgaria",NA,-37.1,NA,-24.8,12.4,15.8,NA,-49.9,7.9,49.9,NA,227
"Burkina Faso",NA,261.4,NA,106.6,19.9,70.4,NA,75.3,5.5,89.5,NA,NA
"Burundi",NA,123.5,NA,58.4,50.7,22.6,789,17.3,25,60.2,NA,636
"Cabo Verde",NA,80.8,151,82,3,39.4,81,85,2.7,82.4,NA,-100
"Cambodia",NA,552.6,NA,137.6,3.7,63.2,NA,329.1,1.7,51.9,NA,NA
"Cameroon",NA,3.5,NA,15.9,13.3,62.3,NA,32.9,1.5,77,NA,-3.6
