"Country","Health expenditure Current % of GDP 2016","Health expenditure Public % of current 2016","Health expenditure Out of pocket % of current 2016","Health expenditure per capita $ 2016","Health expenditure per capita current PPP $ 2016","External health expenditure (% of current health expenditure)   2016","Health workers Physicians per 1,000 people 2009-18","Health workers Nurses and midwives per 1,000 people 2009-18","Specialist surgical workforce  per 100,000 population 2008-18","Completeness of birth registration  % 2009-18","Completeness of death registration  % 2008-16"
"Afghanistan",10.2,5.1,77.4,57.2,162.8,17.5,0.3,0.3,0,42.3,NA
"Albania",6.7,41.4,58,271.5,759.7,0.7,1.2,3.6,11.6,98.4,53
"Algeria",6.6,67.7,30.9,260.4,998.2,0,1.8,2.2,12.1,100,NA
"American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andorra",10.4,49.1,41.7,NA,NA,NA,3.3,4,83.1,100,80
"Angola",2.9,44.1,35.2,95.2,185.8,3.6,0.2,1.3,NA,25,NA
"Antigua and Barbuda",4.3,60.6,32.2,623.1,976.4,0,2.8,3.1,14,NA,79
"Argentina",7.5,74.4,15.8,955.2,NA,0.6,4,2.6,50.1,100,100
"Armenia",9.9,16.5,80.6,358.8,876.9,1.7,2.9,5.6,86.7,99.3,76
"Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia",9.3,68.3,18.9,NA,NA,0,3.6,12.7,45.1,100,100
"Austria",10.4,72.5,18.9,NA,NA,NA,5.1,8.2,109.9,100,100
"Azerbaijan",6.9,20,78.9,268.2,NA,0.4,3.4,7,67.6,NA,NA
"Bahamas, The",6.4,49.9,27.7,NA,NA,0.4,1.9,3.1,NA,NA,93
"Bahrain",4.9,61.4,28,NA,NA,0,0.9,2.5,14.4,NA,88
"Bangladesh",2.4,18,71.9,34.2,90.6,7.6,0.5,0.3,2.9,20.2,NA
"Barbados",7,45.9,45.2,NA,NA,1.7,2.5,6,17.2,99,100
"Belarus",6.3,61.4,35.8,318,NA,0.2,4.1,11.4,124.2,100,100
"Belgium",10,84.1,15.9,NA,NA,0,3.3,11.1,89.8,100,100
"Belize",6.1,66.3,22.9,303.6,541.4,3.8,1.1,1.7,10.5,96,100
"Benin",3.9,20.5,43.5,30.4,83.5,30.5,0.2,0.6,1.9,85.6,NA
"Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan",3.5,74,20.1,91.3,293.1,4.8,0.4,1.5,2.9,100,NA
"Bolivia",6.9,65.7,28,213,496.3,3.2,1.6,0.7,33.9,92,NA
"Bosnia and Herzegovina",9.2,70.8,28.7,443.8,NA,0.2,2,6.3,32.3,NA,89
"Botswana",5.5,55.9,5.2,379.9,931.3,6.7,0.4,3.3,3.6,88,NA
"Brazil",11.8,33.2,43.6,NA,NA,0.1,2.1,9.7,55.5,96,93
"Brunei Darussalam",2.3,94.9,5.1,630.6,NA,0,1.8,6.6,NA,NA,89
"Bulgaria",8.2,50.6,48,612.5,NA,NA,4,5.3,112.7,100,100
"Burkina Faso",6.8,40.1,31.4,40.9,115.6,23.5,0.1,0.6,0.6,76.9,NA
"Burundi",6.2,29.1,30.5,18.5,50.3,38.6,0.1,0.7,0.4,83.5,NA
"Cabo Verde",5.2,56.8,26,159.1,347.6,15.1,0.8,1.2,16,91,NA
"Cambodia",6.1,21.8,58.6,77.7,228.6,18.9,0.2,1,4.2,73.3,NA
"Cameroon",4.7,13.3,69.5,64.5,169.3,9.3,0.1,0.9,1.2,66,NA
"Canada",10.5,73.4,14.6,NA,NA,NA,2.6,9.9,43.9,100,100
"Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,156.8,NA,NA
"Central African Republic",4.3,14.9,43.1,16.4,29.9,40.9,0.1,0.2,0.4,61,NA
"Chad",4.5,18.9,61.2,31.7,95,14.6,0,0.4,0.3,12,NA
"Channel Islands",NA,NA,NA,NA,NA,NA,NA,NA,38.7,NA,NA
"Chile",8.5,58.5,34.8,NA,NA,0,1.1,0.9,59.3,99,100
"China",5,58,35.9,398.3,761.5,0,1.8,2.3,40.1,NA,4
"Hong Kong SAR, China",NA,NA,NA,NA,NA,NA,NA,NA,27.8,NA,NA
"Macao SAR, China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",5.9,62.3,20.2,340.4,829.8,2.1,2.1,1.3,22.7,96.8,98
"Comoros",7.6,14.6,73.1,59,115.8,10.8,0.2,0.9,NA,87.3,NA
"Congo, Dem. Rep.",3.9,12.3,37.4,20.5,34.5,43.4,0.1,0.5,0.2,24.6,NA
"Congo, Rep.",4.6,42.3,49.7,70.4,263.3,3.3,0.1,1.7,0.2,96,NA
"Costa Rica",7.6,74.8,22.1,888.9,NA,0.3,1.1,0.8,25.5,100,91
"Cote d'Ivoire",4.4,25.8,40.1,67.6,162.6,15,0.2,0.9,2.8,72,NA
"Croatia",7.2,78.2,15.4,884.5,NA,NA,3,8.1,81.2,100,100
"Cuba",12.2,89.6,10.3,970.6,NA,0.1,8.2,7.8,100.9,100,98
"Curacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",6.9,42.2,44.9,NA,NA,1.2,2,5.3,84.4,100,86
"Czech Republic",7.1,81.9,15,NA,NA,NA,4.3,8.4,124.5,100,100
"Denmark",10.4,84.1,13.7,NA,NA,NA,4.5,10.3,69,100,98
"Djibouti",3.5,45.8,25.8,70.2,122.1,27.8,0.2,0.5,4.4,NA,NA
"Dominica",5.3,64.3,29.1,419.4,580.7,5.4,1.1,5.9,11.3,NA,100
"Dominican Republic",6.2,45.7,44.6,414.2,936.8,0.6,1.6,0.3,NA,88,56.9
"Ecuador",8.4,51.2,40.5,504.8,942.9,0.4,2.1,1.2,59.4,82,80
"Egypt, Arab Rep.",4.6,29.3,62,131,516.3,1,0.8,1.4,50.1,99.4,95
"El Salvador",7,64.5,27.2,293.9,599.5,2.3,1.6,2.3,22.3,99,78
"Equatorial Guinea",3.4,23.5,72.8,281.4,838.7,1.2,0.4,0.5,NA,54,NA
"Eritrea",3,29.2,59.1,29.9,55.3,11.7,NA,NA,0.4,NA,NA
"Estonia",6.7,75.4,22.7,NA,NA,0.2,3.5,6.5,65,100,100
"Eswatini",7.7,69.3,9.9,220.6,663.3,13.8,0.1,2,0.2,54,NA
"Ethiopia",4,27.6,37.4,27.5,69.5,15.3,0.1,0.8,0.5,2.7,NA
"Faroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiji",3.5,63.9,20.6,179.9,313.2,3.1,0.8,2.9,5.4,NA,100
"Finland",9.5,77.4,20.4,NA,NA,0,3.8,14.7,76.3,100,100
"France",11.5,82.9,9.8,NA,NA,0,3.2,9.7,58.6,100,100
"French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,32.6,NA,NA
"Gabon",3.1,64.6,22.5,220.4,555.6,0.9,0.4,2.6,NA,89.6,NA
"Gambia, The",4.4,18.6,23.6,20.9,74.3,43.8,0.1,1.6,1.8,72,NA
"Georgia",8.4,36.6,55.6,308,797.2,2.3,5.1,4.1,130.4,100,98
