"Country","Rural population  % of total 2000","Rural population  % of total 2018","Rural population growth (annual %)   2018","Land area  sq. km thousands 2016","Land use Forest area % of land area 2000","Land use Forest area % of land area 2016","Land use Permanent cropland % of land area 2000","Land use Permanent cropland % of land area 2016","Land use Arable land % of land area 2000","Land use Arable land % of land area 2016","Arable land  hectares per person 2000","Arable land  hectares per person 2016"
"Afghanistan",78,75,2.1,652.9,2.1,2.1,0.1,0.3,11.8,11.8,0.37,0.22
"Albania",58,40,-2.6,27.4,28.1,28.1,4.4,3,21.1,22.6,0.19,0.22
"Algeria",40,27,-0.1,NA,0.7,0.8,0.2,0.4,3.2,3.1,0.25,0.18
"American Samoa",11,13,-0.1,0.2,90.2,87.5,11.5,9.5,12.5,15,0.04,0.05
"Andorra",8,12,0.7,0.5,34,34,NA,NA,2.1,1.7,0.02,0.01
"Angola",50,34,1.3,NA,47.9,46.3,0.2,0.2,2.4,3.9,0.18,0.17
"Antigua and Barbuda",68,75,1,0.4,22.7,22.3,2.3,2.3,9.1,9.1,0.05,0.04
"Argentina",11,8,-0.5,NA,11.6,9.8,0.4,0.4,10.1,14.3,0.75,0.9
"Armenia",35,37,0.1,28.5,11.7,11.7,1.3,2,15.8,15.7,0.15,0.15
"Aruba",53,57,0.2,0.2,2.3,2.3,NA,NA,11.1,11.1,0.02,0.02
"Australia",16,14,0.8,NA,16.8,16.3,0,0,6.2,6,2.47,1.9
"Austria",40,42,0.1,82.5,46.5,46.9,0.9,0.8,16.9,16.3,0.17,0.15
"Azerbaijan",49,44,0.1,82.7,10.6,14.1,2.9,2.9,22.1,24.2,0.23,0.2
"Bahamas, The",18,17,0.4,10,51.4,51.4,0.4,0.4,0.7,0.8,0.02,0.02
"Bahrain",12,11,4,0.8,0.5,0.8,4.5,3.9,2.8,2.1,0,0
"Bangladesh",76,63,-0.2,130.2,11.3,11,3.5,6.4,64.1,59.6,0.07,0.05
"Barbados",66,69,0.2,0.4,14.7,14.7,2.3,2.3,34.9,16.3,0.06,0.02
"Belarus",30,21,-2.3,203,40.8,42.6,0.6,0.5,30.2,28,0.61,0.6
"Belgium",3,2,-1.6,30.3,22,22.6,0.7,0.8,28.5,28.1,0.08,0.07
"Belize",55,54,1.7,22.8,64,59.7,1.5,1.4,2.8,3.4,0.26,0.21
"Benin",62,53,1.7,112.8,44.9,37.8,2.4,4.4,21.1,23.9,0.35,0.25
"Bermuda",0,0,NA,0.1,18.5,18.5,NA,NA,7.4,5.6,0.01,0
"Bhutan",75,59,0,38.1,65.5,72.5,0.5,0.2,2.7,2.6,0.18,0.14
"Bolivia",38,31,0.3,NA,55.5,50.3,0.2,0.2,2.9,4.1,0.37,0.4
"Bosnia and Herzegovina",58,52,-1.5,51.2,42.7,42.7,2,2,19.5,20,0.27,0.3
"Botswana",47,31,-0.2,566.7,22.1,18.9,0,0,0.6,0.5,0.21,0.12
"Brazil",19,13,-1.1,NA,62.4,58.9,0.9,0.8,6.9,9.7,0.33,0.39
"Brunei Darussalam",29,22,-0.4,5.3,75.3,72.1,0.8,1.1,0.4,0.9,0.01,0.01
"Bulgaria",31,25,-2.1,108.6,30.5,35.4,2.3,1.3,31.9,32.2,0.43,0.49
"Burkina Faso",82,71,2,273.6,22.8,19.3,0.3,0.4,13.5,21.9,0.32,0.32
"Burundi",92,87,2.8,25.7,7.7,10.9,14,13.6,37.4,46.7,0.15,0.11
"Cabo Verde",47,34,-0.2,4,20.4,22.5,0.5,1,10.9,12.4,0.1,0.09
"Cambodia",81,77,1,176.5,65.4,52.9,0.8,0.9,21,21.5,0.3,0.24
"Cameroon",54,44,1.3,472.7,46.8,39.3,2.5,3.3,12.6,13.1,0.38,0.26
"Canada",21,19,1.1,NA,38.2,38.2,0.7,0.5,5,4.8,1.49,1.21
"Cayman Islands",0,0,NA,0.2,52.9,52.9,2.1,2.1,0.8,0.8,0,0
"Central African Republic",62,59,0.9,623,36,35.6,0.2,0.1,3.1,2.9,0.53,0.4
"Chad",78,77,2.8,NA,5,3.8,0,0,2.9,3.9,0.43,0.34
"Channel Islands",70,69,1.1,0.2,4,4,NA,NA,19.7,19.7,0.03,0.02
"Chile",14,12,0.8,743.5,21.3,24.3,0.5,0.6,2.4,1.7,0.11,0.07
"China",64,41,-2.4,NA,18.9,22.4,1.2,1.7,12.6,12.7,0.09,0.09
"Hong Kong SAR, China",0,0,NA,1.1,NA,NA,1,1,4.8,2.9,0,0
"Macao SAR, China",0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia",26,19,-0.2,NA,55.7,52.7,1.6,1.7,2.5,1.5,0.07,0.04
"Comoros",72,71,2,1.9,24.2,19.7,28.5,28.5,34.9,34.9,0.12,0.08
"Congo, Dem. Rep.",65,56,2.2,NA,69.4,67.2,0.4,0.4,3,3.1,0.14,0.09
"Congo, Rep.",41,33,1.2,341.5,66,65.4,0.1,0.2,1.4,1.6,0.16,0.11
"Costa Rica",41,21,-2.7,51.1,46.5,54.6,5.5,6.1,4.1,4.8,0.05,0.05
"Cote d'Ivoire",57,49,1.6,318,32.5,32.7,11.9,14.2,8.8,9.1,0.17,0.12
"Croatia",47,43,-1.5,56,33.7,34.4,1.2,1.3,15.1,15.6,0.19,0.21
"Cuba",25,23,-0.3,104,22.7,31.3,5.1,4.6,32.6,28.7,0.31,0.26
"Curacao",9,11,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",31,33,0.9,9.2,18.6,18.7,4.5,2.8,10.6,9.2,0.1,0.07
"Czech Republic",26,26,-0.2,77.2,34.1,34.6,1,0.6,42,32.3,0.32,0.24
"Denmark",15,12,-0.4,42,13.8,14.7,0.2,0.1,53.8,56.6,0.43,0.41
"Djibouti",23,22,1,23.2,0.2,0.2,NA,NA,0,0.1,0,0
"Dominica",35,30,-0.8,0.8,63.1,57.4,18.7,22.7,6.7,8,0.07,0.08
"Dominican Republic",38,19,-3,48.3,30.8,41.7,8.7,7.3,18.6,16.6,0.11,0.08
"Ecuador",40,36,1.3,248.4,55.3,50.2,5.5,5.8,6.5,3.9,0.13,0.06
"Egypt, Arab Rep.",57,57,2,995.5,0.1,0.1,0.5,1,2.8,2.8,0.04,0.03
"El Salvador",41,28,-2.1,20.7,16,12.6,12.1,10.1,31.4,35.6,0.11,0.12
"Equatorial Guinea",51,28,1.9,28.1,62.1,55.5,3.6,2.1,4.6,4.3,0.21,0.1
"Eritrea",73,NA,NA,101,15.6,14.9,0,0,5.5,6.8,0.24,NA
"Estonia",31,31,-0.3,43.5,52.9,51.3,0.3,0.1,19.9,16,0.6,0.53
"Eswatini",77,76,0.8,17.2,30.1,34.3,0.8,0.9,10.3,10.2,0.18,0.16
